ANO,MES,DIA,ID,C,R,X
2018,1,1,1,76785.0,1.0,-1
2018,1,2,2,78295.0,-1.0,-1
2018,1,3,3,78400.0,1.0,-1
2018,1,4,4,79185.0,-1.0,1
2018,1,7,5,79630.0,-1.0,-1
2018,1,8,6,79840.0,-1.0,1
2018,1,9,7,79235.0,1.0,-1
2018,1,10,8,78675.0,1.0,-1
2018,1,11,9,79805.0,-1.0,1
2018,1,14,10,79705.0,-1.0,-1
2018,1,15,11,80275.0,-1.0,-1
2018,1,16,12,80185.0,1.0,-1
2018,1,17,13,81600.0,-1.0,1
2018,1,18,14,81200.0,1.0,1
2018,1,21,15,81465.0,-1.0,-1
2018,1,22,16,81890.0,-1.0,1
2018,1,23,17,80850.0,1.0,-1
2018,1,25,18,84045.0,-1.0,1
2018,1,28,19,85795.0,-1.0,-1
2018,1,29,20,84795.0,1.0,1
2018,1,30,21,84715.0,-1.0,-1
2018,2,0,22,85250.0,-1.0,-1
2018,2,1,23,85630.0,-1.0,1
2018,2,4,24,84265.0,1.0,-1
2018,2,5,25,81450.0,1.0,-1
2018,2,6,26,84340.0,-1.0,1
2018,2,7,27,82965.0,1.0,1
2018,2,8,28,81325.0,1.0,-1
2018,2,14,29,84445.0,-1.0,-1
2018,2,15,30,85115.0,1.0,1
2018,2,18,31,85500.0,-1.0,1
2018,2,19,32,85635.0,1.0,-1
2018,2,20,33,86725.0,-1.0,-1
2018,2,21,34,86600.0,1.0,-1
2018,2,22,35,87545.0,-1.0,1
2018,2,25,36,88150.0,-1.0,1
2018,2,26,37,88495.0,1.0,1
2018,2,27,38,87570.0,1.0,1
2018,3,0,39,86030.0,1.0,-1
2018,3,1,40,86185.0,-1.0,1
2018,3,4,41,86500.0,-1.0,-1
2018,3,5,42,86530.0,-1.0,1
2018,3,6,43,86105.0,1.0,1
2018,3,7,44,86050.0,-1.0,1
2018,3,8,45,85620.0,1.0,-1
2018,3,11,46,86930.0,-1.0,-1
2018,3,12,47,87330.0,-1.0,1
2018,3,13,48,87000.0,1.0,1
2018,3,14,49,86480.0,1.0,1
2018,3,15,50,85700.0,1.0,1
2018,3,18,51,84925.0,1.0,-1
2018,3,19,52,84585.0,-1.0,1
2018,3,20,53,84605.0,1.0,-1
2018,3,21,54,85550.0,-1.0,1
2018,3,22,55,84580.0,1.0,-1
2018,3,25,56,85005.0,-1.0,1
