ANO,MES,DIA,ID,CT0,GAP0,R
2016,1,3,1,42975.0,-1.0,-1
2016,1,4,2,42735.0,1.0,0
2016,1,5,3,42195.0,-1.0,-1
2016,1,6,4,41410.0,-1.0,0
2016,1,7,5,41315.0,1.0,-1
2016,1,10,6,41165.0,1.0,0
2016,1,11,7,40645.0,-1.0,0
2016,1,12,8,40375.0,1.0,1
2016,1,13,9,39250.0,-1.0,-1
2016,1,14,10,39075.0,1.0,0
2016,1,17,11,39010.0,-1.0,0
2016,1,18,12,39225.0,1.0,0
2016,1,19,13,37710.0,-1.0,0
2016,1,20,14,37690.0,-1.0,-1
2016,1,21,15,38505.0,1.0,0
2016,1,25,16,37680.0,1.0,0
2016,1,26,17,37490.0,-1.0,-1
2016,1,27,18,38920.0,1.0,-1
2016,1,28,19,39105.0,-1.0,-1
2016,2,0,20,40370.0,-1.0,0
2016,2,1,21,39785.0,1.0,-1
2016,2,2,22,39195.0,1.0,-1
2016,2,3,23,40420.0,-1.0,-1
2016,2,4,24,40865.0,-1.0,-1
2016,2,10,25,39695.0,-1.0,0
2016,2,11,26,39800.0,1.0,0
2016,2,14,27,40665.0,1.0,0
2016,2,15,28,40150.0,1.0,-1
2016,2,16,29,41990.0,1.0,-1
2016,2,17,30,42025.0,-1.0,-1
2016,2,18,31,41790.0,-1.0,-1
2016,2,21,32,43320.0,-1.0,-1
2016,2,22,33,43775.0,1.0,-1
2016,2,23,34,42270.0,-1.0,0
2016,2,24,35,42245.0,1.0,-1
2016,2,25,36,43005.0,-1.0,1
2016,2,28,37,42520.0,1.0,-1
2016,3,0,38,43940.0,-1.0,-1
2016,3,1,39,44830.0,1.0,-1
2016,3,2,40,46005.0,1.0,-1
2016,3,3,41,49960.0,-1.0,-1
2016,3,6,42,50275.0,-1.0,1
2016,3,7,43,49575.0,1.0,-1
2016,3,8,44,50370.0,-1.0,1
2016,3,9,45,50135.0,1.0,1
2016,3,10,46,50120.0,-1.0,-1
2016,3,13,47,50280.0,-1.0,-1
2016,3,14,48,47890.0,-1.0,-1
2016,3,15,49,47035.0,-1.0,-1
2016,3,16,50,50820.0,-1.0,-1
2016,3,17,51,51710.0,1.0,1
2016,3,20,52,51360.0,-1.0,-1
2016,3,21,53,51315.0,1.0,-1
2016,3,22,54,50820.0,-1.0,1
2016,3,23,55,49045.0,1.0,-1
2016,3,27,56,51065.0,1.0,-1
2016,3,28,57,51290.0,1.0,-1
2016,3,29,58,51930.0,-1.0,-1
2016,3,30,59,50890.0,-1.0,1
2016,4,0,60,49545.0,-1.0,-1
2016,4,3,61,50050.0,-1.0,1
2016,4,4,62,48270.0,-1.0,-1
2016,4,5,63,48400.0,-1.0,-1
2016,4,6,64,48910.0,1.0,0
2016,4,7,65,50050.0,1.0,-1
2016,4,10,66,50980.0,1.0,0
2016,4,11,67,50770.0,1.0,-1
2016,4,12,68,54520.0,-1.0,-1
2016,4,13,69,54455.0,-1.0,-1
2016,4,14,70,53880.0,1.0,-1
2016,4,17,71,54510.0,-1.0,1
2016,4,18,72,54365.0,-1.0,-1
2016,4,19,73,54325.0,-1.0,-1
2016,4,21,74,53440.0,-1.0,-1
2016,4,24,75,53525.0,1.0,0
2016,4,25,76,53060.0,1.0,-1
2016,4,26,77,54330.0,1.0,-1
2016,4,27,78,55420.0,-1.0,-1
2016,4,28,79,55385.0,1.0,1
2016,5,1,80,54740.0,1.0,0
2016,5,2,81,53570.0,-1.0,0
2016,5,3,82,52570.0,-1.0,-1
2016,5,4,83,53740.0,1.0,1
2016,5,5,84,51850.0,-1.0,-1
2016,5,8,85,51925.0,-1.0,1
2016,5,9,86,52435.0,1.0,-1
2016,5,10,87,54675.0,-1.0,1
2016,5,11,88,53960.0,-1.0,-1
2016,5,12,89,53630.0,1.0,1
2016,5,15,90,51935.0,-1.0,-1
2016,5,16,91,52480.0,-1.0,1
2016,5,17,92,50645.0,1.0,-1
2016,5,18,93,50395.0,1.0,-1
2016,5,19,94,50980.0,1.0,-1
2016,5,22,95,49040.0,-1.0,-1
2016,5,23,96,50090.0,1.0,-1
2016,5,24,97,49985.0,1.0,-1
2016,5,26,98,49790.0,1.0,-1
2016,5,29,99,49395.0,-1.0,0
2016,5,30,100,49005.0,-1.0,-1
2016,6,0,101,48505.0,1.0,-1
2016,6,1,102,49335.0,1.0,-1
2016,6,2,103,50510.0,1.0,-1
2016,6,5,104,51070.0,1.0,0
2016,6,6,105,50085.0,-1.0,-1
2016,6,7,106,50825.0,1.0,-1
2016,6,8,107,51510.0,1.0,0
2016,6,9,108,50590.0,-1.0,1
2016,6,12,109,48915.0,-1.0,-1
2016,6,13,110,49490.0,-1.0,-1
2016,6,14,111,49725.0,1.0,-1
2016,6,15,112,49420.0,-1.0,-1
2016,6,16,113,50925.0,-1.0,-1
2016,6,19,114,51380.0,1.0,-1
2016,6,20,115,51070.0,-1.0,-1
2016,6,21,116,51890.0,1.0,-1
2016,6,22,117,51625.0,-1.0,-1
2016,6,23,118,50540.0,1.0,-1
2016,6,26,119,50800.0,1.0,1
