ID,CT0,GAP0,R
1,-0.6102564102564103,1300.0,-1
2,0.9082774049217002,-1690.0,-1
3,0.3630705394190871,-495.0,1
4,-0.2915254237288136,400.0,1
5,-0.4100946372239748,95.0,1
6,-0.5041551246537396,945.0,-1
7,-0.5728155339805825,460.0,1
8,-0.4581151832460733,390.0,-1
9,0.8728813559322034,-185.0,-1
10,0.1834061135371179,-80.0,1
11,-0.7832699619771863,310.0,1
12,-0.05343511450381679,370.0,-1
13,0.8832807570977917,-195.0,-1
14,0.4663461538461539,-790.0,1
15,-0.6055555555555555,560.0,-1
16,0.7918781725888325,-350.0,1
17,0.5742753623188406,110.0,1
18,-0.7707182320441989,-1900.0,1
19,-0.7909836065573771,375.0,-1
20,0.7264150943396226,405.0,1
21,-0.6791569086651054,-1280.0,1
22,0.431304347826087,-900.0,1
23,-0.4914675767918089,570.0,1
24,0.1627296587926509,1515.0,1
25,-0.4979423868312757,1125.0,-1
26,-0.2047477744807122,550.0,1
27,-0.6340579710144928,-375.0,-1
28,-0.7631578947368421,85.0,-1
29,-0.2669902912621359,630.0,-1
30,0.8199513381995134,1600.0,-1
31,0.1563981042654028,-1245.0,1
32,0.07114624505928854,555.0,1
33,-0.8198614318706697,525.0,-1
34,0.186046511627907,-850.0,1
35,0.5617283950617284,190.0,-1
36,0.5309278350515464,-260.0,1
37,-0.7982456140350878,-500.0,1
38,-0.7162346521145976,-1335.0,-1
39,-0.4014336917562724,-1720.0,1
40,0.777535441657579,-1055.0,-1
41,0.7794432548179872,155.0,1
42,-0.3963355834136933,1900.0,1
43,-0.02702702702702703,-1615.0,1
44,-0.5531547104580813,-3510.0,-1
45,-0.3977272727272727,-9500.0,1
46,-0.5114345114345115,4585.0,-1
47,0.3612903225806451,-3025.0,-1
48,-0.8895463510848126,-4215.0,1
49,-1.0,7175.0,1
50,0.06903163950143816,-5605.0,1
51,-0.6729048006509357,345.0,-1
52,0.3928046989720999,-6045.0,-1
53,0.1246312684365782,-1950.0,-1
54,-0.07549361207897794,4305.0,-1
55,-0.5170325510976533,-2150.0,1
56,-0.03967761934283943,4460.0,-1
57,0.1232604373757455,-490.0,-1
58,0.6721854304635762,-1500.0,-1
59,0.6857573474001507,-2890.0,1
60,-0.3957703927492447,-50.0,1
61,0.7521367521367521,-60.0,-1
62,-0.8737864077669902,-2025.0,-1
63,0.4722222222222222,1610.0,1
64,-0.1848184818481848,200.0,1
65,-0.5660377358490566,3350.0,-1
66,0.5434782608695652,3400.0,-1
67,-0.3077905491698595,455.0,-1
68,0.6655791190864601,-580.0,-1
69,-0.1049180327868852,-670.0,-1
70,0.5726072607260726,1035.0,-1
71,-0.05454545454545454,-2070.0,-1
72,0.5688259109311741,430.0,1
73,-0.2115732368896926,1635.0,1
74,-0.5564648117839607,-2410.0,-1
75,0.7238095238095238,-800.0,-1
76,0.5585443037974683,-15.0,1
77,-0.2914110429447853,-530.0,1
78,-0.3074792243767313,1200.0,-1
79,0.09980039920159681,1650.0,-1
80,0.7912621359223301,630.0,1
81,0.8559670781893004,-1360.0,1
82,-0.8924558587479936,-2750.0,-1
83,0.7532467532467533,1110.0,-1
84,0.04842615012106537,-65.0,1
85,-0.6234309623430963,1245.0,1
